GeneName,log2FoldChange(WTC_kvsKOC_k),padj(WTC_kvsKOC_k),log2FoldChange(WTKvsKOK),padj(WTKvsKOK),log2FoldChange(WTC_k24vsKOC_k24),padj(WTC_k24vsKOC_k24),log2FoldChange(WTK24vsKOK24),padj(WTK24vsKOK24),log2FoldChange(KOC_kvsKOK),padj(KOC_kvsKOK),log2FoldChange(WTC_kvsWTK),padj(WTC_kvsWTK),log2FoldChange(KOC_k24vsKOK24),padj(KOC_k24vsKOK24),log2FoldChange(WTC_k24vsWTK24),padj(WTC_k24vsWTK24)
Gm14092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm561,-0.018274765,0.98705,-0.178857104,0.87979,0.698029072,0.5021,0.673307043,0.13733,0.879890232,0.027487,1.021485031,0.00014747,0.220909011,0.73801,0.258006181,0.95138
Gm5535,0,0,0,0,0,0,1.301796626,0,0,0,0,0,0,0,0,0
Gm12419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-320G12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13350,0,0,0,0,0,0,0,0,0,0,-0.379315167,0,0,0,0,0
Ceacam5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbpjl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svs5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slpi,0.758200743,0.4821,-0.249827142,0.82107,-0.685426876,0,-0.032362579,0.98499,0.561281472,0.34579,1.550744932,0.00030074,-0.531558616,0.72537,-1.165053404,0
Svs3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svs6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdc4,-0.102074686,0.89904,-0.072594119,0.90736,-0.441147634,0.80825,-0.211664884,0.43939,-0.253142936,0.44567,-0.297778146,0.071244,0.379737721,0.34863,0.163696925,0.96469
Gm6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slco1a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6614,0.692798552,0.76655,-0.82757875,0.46237,-0.121712746,0.98839,-0.09055588,0.94303,0.171959378,0.89941,1.67898253,0.0047148,-0.630589647,0,-0.649526094,0.93839
Tmppe,-0.311966871,0.2862,-0.200882849,0.81244,-0.093880305,0.95378,-0.414767032,0.27565,-0.255290712,0.49863,-0.382542548,0.069565,-0.34250371,0.46835,-0.006165998,0.99843
B3gntl1,0.277500349,0.82648,-0.05969553,0.95751,-0.061554346,0.98613,-0.276129526,0.61898,0.125883216,0.84482,0.442286555,0.19173,-0.023393941,0.98424,0.206864116,0.95078
Gm3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itga2,0.500270863,0,0.15605326,0,-1.415191733,0.82656,-1.238266952,0,0.153724777,0,0.481669318,0.77186,-1.275061774,0,-1.439410257,0.76591
Mocs2,-0.075266664,0.85505,-0.109501692,0.86014,0.128266261,0.9418,0.239675924,0.59731,0.190813415,0.45307,0.207052511,0.17115,0.258801668,0.54969,0.160668977,0.96376
Gm14860,-1.855874949,0,-1.654854463,0,-1.259964312,0,1.301796626,0,-0.315579255,0,-0.53715975,0,-0.473700491,0,-3.033647032,0
Mettl24,0.263708717,0,-1.050164028,0,-0.204579228,0.97619,1.650786663,0,-0.131887818,0,1.16518662,0.35866,0.783900307,0,-1.056769807,0
Gm8682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fpr1,0.312927409,0.80487,-0.385141712,0.78945,-0.773239596,0.78272,-1.488857478,0.0070324,0.323164239,0.65209,1.006568942,0.011134,-0.381524971,0.8176,0.347216166,0.92102
Gm12956,0,0,0,0,2.314375467,0,1.434610674,0,0,0,0,0,-1.787800347,0,-0.907838622,0
RP23-466P2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-325I21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trav4d-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-273G4.1,-0.710958974,0.85115,-0.663591216,0.61981,-1.451278691,0.50617,-0.974672703,0.23421,1.116894198,0,1.053297468,0.20767,0.544889763,0,0.082359797,0.99418
RP24-335E13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-475E12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shh,2.11529844,0,-1.228875499,0.49409,4.099463173,0.24179,-1.707361768,0,-1.83160753,0,1.487777621,0.10536,-4.385556375,0,1.435954025,0
Pdcd2l,-0.098825373,0.85375,-0.077104555,0.91441,0.234365298,0.83871,0.278558307,0.4059,0.185273684,0.50624,0.146018377,0.51963,0.322801501,0.32537,0.292735409,0.80757
Haao,-0.193113249,0.10855,-0.01238553,0.98523,0.397585851,0.6715,0.166594132,0.33263,-0.597740725,0.0000028,-0.795188145,7.24E-08,0.214378667,0.45524,0.459661325,0.38757
Smim7,-0.077549742,0.82904,-0.089461063,0.92306,0.149294325,0.9354,0.299549122,0.40005,0.53640573,0.069598,0.530293267,0.0028601,0.215240153,0.67381,0.078646563,0.98754
Gm9294,0,0,1.207991264,0,-0.489578478,0,2.03958444,0,0,0,-1.765626286,0,0.450306605,0,-2.072978768,0
Grid1,0.251193934,0.94486,0.011353651,0.99402,-0.567751921,0.90535,1.430834399,0,0.291406579,0.76944,0.514982744,0.5531,-0.157128093,0,-2.135097755,0
Rwdd2b,-0.221376238,0.59065,-0.222089144,0.6321,-0.089680815,0.95321,0.121759659,0.75956,0.137502538,0.64028,0.120972548,0.60897,0.422914085,0.19834,0.226141494,0.88169
4930432K21Rik,-0.869096003,0,-0.334416604,0,0.588060896,0,0.121694073,0,-0.666216477,0,-1.204150364,0,-0.902080115,0,-0.415002587,0
Fzd7,-0.188227661,0.76683,0.163426324,0.86871,-0.154065504,0.92674,-0.121050987,0.71192,-0.471042007,0.15419,-0.839320547,0.0014208,-0.281255796,0.38943,-0.299201012,0.82841
Nacad,-0.687987176,0.7917,0.863008755,0.64045,0.32798301,0.96039,0.457809209,0,0.84209257,0,-0.729984881,0.49621,0.072417472,0,-0.045155572,0
Htr2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pin4,-0.051949437,0.95519,0.062939184,0.94374,0.252110338,0.89666,0.344626973,0.36459,0.403462383,0.22462,0.271529784,0.19254,0.414889948,0.38801,0.335545966,0.81945
Nhsl2,0.230600391,0.85909,0.262880335,0.80184,-0.007821395,0.99655,-0.017897225,0.98743,0.139061349,0.76718,0.090557174,0.85982,-0.314492989,0.78059,-0.287697674,0.94785
Med12,0.021578185,0.97842,-0.020827446,0.98613,-0.069558737,0.97061,-0.618167302,0.083677,-0.348967032,0.34026,-0.323297296,0.16927,-0.614288943,0.061765,-0.049719545,0.99294
Phyhd1,0.036681,0.97711,-0.329135419,0.66413,0.237578754,0.91734,0.242795364,0.55013,0.404083443,0.20168,0.749943667,0.022761,0.137021556,0.8844,0.146936612,0.96506
Gm8864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C030013D06Rik,-0.189622343,0,-0.295790194,0,-0.114276843,0.97907,0.73511094,0.60352,0.721595697,0,0.816390022,0.58221,0.439376354,0,-0.395589866,0
Gm5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14212,-0.751115803,0,-0.645161056,0,1.381225758,0,1.410251516,0,1.113296085,0,0.998829384,0,0.208318113,0,0.195364202,0
Rpl17-ps10,-0.039918042,0.98122,-0.530466541,0.55674,0.279829009,0.9418,0.203755029,0.82569,0.697778147,0.18703,1.169479358,0.0005741,0.007944219,0.99607,0.09716071,0.99303
Adam28,0,0,-0.133169107,0,0.679089151,0,0.179421643,0,0,0,1.225334509,0,0.478735617,0,0.990225513,0
Gm5431,0.068712584,0.97869,-0.44688674,0.70533,-1.491206516,0.21833,-1.835567804,0.0093894,-0.430843944,0.48382,0.071829509,0.91968,-0.441030262,0,-0.079501544,0.99294
Tbx2,-0.243380993,0.69601,-0.246256641,0.72273,-0.388456031,0.815,0.123148186,0.8322,0.167839759,0.61282,0.154165151,0.65202,0.062771413,0.95305,-0.433583779,0.69847
Olfr1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbx4,1.310646973,0,-0.489326561,0,0.942474924,0,-0.663307167,0,-0.653926691,0,1.1449641,0,-0.64057798,0,0.983859889,0
Tmem37,-0.019966584,0.98261,0.093482811,0.87363,0.049582032,0.97907,0.281011679,0.47662,-0.28893986,0.24789,-0.418744299,0.022757,-0.065756364,0.93616,-0.282505389,0.76981
Olfr1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wdr47,-0.048089412,0.97665,-0.241908698,0.80542,0.1925057,0.9418,-0.188880714,0.77545,-0.426330554,0.30085,-0.250246694,0.54689,-0.220298661,0.83707,0.176060212,0.97055
Ppp1ca,0.094235207,0.74347,0.260646317,0.29701,0.270661735,0.65947,0.111011366,0.60352,0.052362371,0.78518,-0.131855988,0.38431,0.12195754,0.72537,0.296441929,0.34799
Klhl32,0.657267531,0,-0.518656822,0,-1.749634428,0,1.721415006,0,-0.552556664,0,0.606302899,0,1.870204969,0,-1.581327339,0
Cbln3,-0.183565864,0.89904,0.585196135,0.8386,0.729654577,0.85473,0.45094874,0.72104,-2.292506129,0.00000212,-3.075103691,6.56E-08,0.060350669,0.98596,0.352652997,0.96739
Aqr,0.128019163,0.71741,0.283351405,0.66403,-0.338609661,0.81555,-0.324135063,0.46185,-0.403739145,0.22876,-0.576931197,0.00013609,-0.229543674,0.66376,-0.227657025,0.93655
Nol4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc16a6,-0.683491972,0.0000369,-0.403769011,0.27129,-0.443360348,0.64548,-0.948629667,0.00017731,-0.752097703,0.00016574,-1.050091134,7.42E-10,-0.554020814,0.1661,-0.032679031,0.99303
Metap1d,-0.083121634,0.84913,-0.148730146,0.82193,0.395391975,0.66767,-0.048686346,0.90101,0.58467706,0.001822,0.632135599,0.00050302,0.057746038,0.93707,0.516058491,0.099813
Rnpep,-0.208975877,0.24761,0.26026985,0.56412,0.07004248,0.9668,-0.318971121,0.43521,-0.113167555,0.71251,-0.599758858,0.000000248,-0.035678326,0.96022,0.369516439,0.7651
Acad11,0.472586511,0.00000154,0.653261608,0.045738,-0.349103293,0.85207,0.155502848,0.68168,-0.059990908,0.86757,-0.257284033,0.12477,-0.193037563,0.75751,-0.68176838,0.18453
Gm16285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gja6,-0.848145315,0,-0.980415462,0,2.11259895,0,0.194154384,0,0.132891293,0,0.244625545,0.91287,0.232806095,0,2.167076222,0
Tmem191c,0.230819939,0.90596,-0.660252768,0.46446,0.394994542,0.84781,0.537680148,0.37533,-0.26168595,0.68778,0.61213861,0.24776,0.027424229,0.97112,-0.099660358,0.98693
Gm8580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255644319,0
Gdf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanci,0.636813355,0.88753,-0.32038465,0,-0.756203077,0.88729,-1.015627208,0,0.104035587,0,1.04789298,0.44736,-0.276073589,0,-0.002040469,0
Negr1,0.644192821,0,0.956442386,0,-1.748956355,0,0,0,0.926574215,0,0.618769496,0,0.024580918,0,0,0
Disp2,-3.241802521,0.00000184,-2.992717217,0.28256,-4.876744971,0.000000018,-5.788186379,8.87E-11,0.362453323,0,0.093319289,0.83927,-1.075991627,0,-0.144820486,0.98787
Nup43,-0.078424465,0.94588,-0.056526628,0.94785,0.377637628,0.79505,0.450723412,0.25861,0.263700989,0.46197,0.224135599,0.51913,0.16531375,0.7889,0.107558367,0.98314
Stat2,-0.102130748,0.8232,0.10120351,0.86196,-0.07406937,0.97315,-0.578404765,0.00058554,-0.388416188,0.029216,-0.610641745,0.00022382,-0.255839396,0.45524,0.263060841,0.88864
