GeneName,log2FoldChange(WTC_kvsKOC_k),padj(WTC_kvsKOC_k),log2FoldChange(WTKvsKOK),padj(WTKvsKOK),log2FoldChange(WTC_k24vsKOC_k24),padj(WTC_k24vsKOC_k24),log2FoldChange(WTK24vsKOK24),padj(WTK24vsKOK24),log2FoldChange(KOC_kvsKOK),padj(KOC_kvsKOK),log2FoldChange(WTC_kvsWTK),padj(WTC_kvsWTK),log2FoldChange(KOC_k24vsKOK24),padj(KOC_k24vsKOK24),log2FoldChange(WTC_k24vsWTK24),padj(WTC_k24vsWTK24)
Gm6890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5936,0,0,0,0,1.468269641,0,0,0,0,0,0,0,0,0,0,0
4930583I09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C030048H21Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5640,-1.902486104,0,-2.6819923,0,0.15049799,0,-0.354509267,0,-1.267419353,0,-0.509973871,0,0.222850792,0,0.745167189,0
Gm13063,-1.188212043,0,-0.088647103,0,-0.583079095,0.93852,-0.34313802,0,-0.084743464,0,-1.197966704,0,-0.399402554,0,-0.62673656,0
1700027A07Rik,0,0,0.275696541,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A930006K02Rik,-0.463337352,0.83898,-0.37173855,0.86456,1.083960789,0.85207,-0.139070066,0.92608,0.129777906,0,0.021441649,0.99953,-0.87545303,0,0.355348784,0
2610204G07Rik,-2.577633209,0,0.113093784,0,0,0,-3.358357713,0,1.521180389,0,-1.170678144,0,0,0,2.036549653,0
1700095J07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16278,-0.832959519,0.63127,0.298219934,0.90395,-0.357445246,0.95378,-0.329092681,0,0.713363038,0,-0.439468469,0.62896,-0.254814724,0,-0.269702906,0
Gm12523,0,0,0,0,1.237539885,0,0,0,0,0,0,0,0,0,0,0
Ccdc114,0.196551239,0.9636,-0.244608872,0.93899,1.400278054,0.78096,-0.712836857,0,-0.110917619,0,0.31367864,0.79804,-1.263113767,0,0.863821945,0
Scamp2,-0.000342311,0.99802,0.252844168,0.6617,-0.388702237,0.83871,-0.303563388,0.23859,-0.491383934,0.036757,-0.761728221,0.0000773,0.003176349,0.99928,-0.066392335,0.98911
Arntl2,0.310293781,0.89375,0.567942227,0.36819,0.904896991,0.68707,0.908486648,0.14201,1.393167501,0.0011481,1.116564371,0.030531,0.450357095,0.71,0.463598393,0.89499
Ankrd6,-0.056824773,0.98574,-0.058084225,0.98092,0.939965316,0.87419,0.284173128,0.89138,0.146773917,0,0.12946113,0.87995,0.036141026,0,0.705884098,0
Fmo1,0.477189732,0.00068138,-0.301672055,0.54569,-0.086518684,0.96949,0.180991462,0.63681,-0.158727158,0.5635,0.602992544,0.0010144,-0.319926892,0.49923,-0.571599465,0.41855
Gm13217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minos1,0.036253661,0.96418,-0.010489355,0.99068,0.112922452,0.94546,0.377530568,0.27711,0.328093177,0.31277,0.357590196,0.058564,0.178106147,0.71724,-0.073155267,0.98911
Obox6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapk4,0.342833826,0.76798,0.206349063,0.89839,0.78989068,0.75879,0.683774599,0.31195,-0.067681024,0.953,0.051688204,0.92057,0.105026249,0.94629,0.228639592,0.97055
Me2,-0.436813274,0.50115,-1.169781109,0.00010195,-0.751955574,0.47131,-0.291274401,0.67829,-0.491962075,0.21465,0.221306072,0.51605,0.097972116,0.94508,-0.346535833,0.89902
Ngfr,-0.259063536,0.7249,0.256204209,0.77114,0.112165976,0.95714,0.106936762,0.86796,-0.480781651,0.092254,-1.014174514,0.0022307,0.376190488,0.49685,0.39601049,0.86917
Olfr1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fer,0.013429027,0.99122,-0.034610843,0.97503,-0.188321957,0.90535,-0.282986129,0.48481,0.071992131,0.85095,0.103894139,0.744,0.007961254,0.9841,0.117966603,0.97046
Wnt9a,0.251851736,0.92045,-0.357497128,0.78766,-0.351912696,0.91556,-0.333255324,0.72581,0.604802528,0.40435,1.203209434,0.023948,-0.044326818,0.98557,-0.047223448,0.99418
Gm15504,-1.373116705,0,0,0,2.934228167,0,0,0,0,0,0,0,-0.265992187,0,0,0
Gm8036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrrc66,0,0,-0.80220831,0,-1.231969562,0,-0.284968237,0,0,0,0,0,0.377293923,0,-0.54813393,0
H2-K2,0.034115134,0.98886,0.003902531,0.99797,-0.310673355,0.88914,0.154126727,0.76355,-0.231548855,0.69795,-0.224710028,0.60892,0.472057323,0.32046,0.019995296,0.99615
H2-M9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddx27,-0.027094297,0.96957,0.194037383,0.75708,-0.257208593,0.86387,-0.159503911,0.62886,-0.172898706,0.54179,-0.411083643,0.033095,-0.05882015,0.9304,-0.140920343,0.95603
Cd7,-0.19070909,0.96685,-0.955508045,0,-0.200835252,0.97657,0.164273909,0,-1.016839275,0,-0.267524459,0.8365,-0.049698327,0,-0.403111827,0
Vmn2r-ps84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cspp1,-0.044527958,0.95119,-0.149457608,0.80382,0.181298128,0.91374,-0.21653666,0.4157,0.12297595,0.63023,0.212001184,0.31565,-0.15391713,0.79493,0.258974852,0.7651
Yars2,0.066902877,0.89345,0.279029262,0.44285,0.10492174,0.94,-0.05712538,0.85861,0.055946392,0.80149,-0.173519923,0.39788,0.065747062,0.9038,0.242543039,0.81945
Igsf11,0.44113298,0.0010719,1.182722522,0.0000188,0.128550627,0.94101,0.454783541,0.29255,-0.386269146,0.12031,-1.145779736,4.75E-09,-0.18201508,0.77987,-0.492569394,0.57089
Tnk2,-0.011039822,0.98632,0.272438284,0.66413,-0.021890198,0.99377,-0.275605959,0.43586,-0.616830516,0.016945,-0.917423045,0.000000146,-0.297162599,0.6003,-0.027680118,0.99615
Gm15032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13717,-1.529618145,0,-0.238658745,0,0.698433014,0.91284,0.575172674,0,0.935431243,0,-0.364902243,0,-0.429620097,0,-0.298215737,0
Rps12-ps5,0,0,0.399124603,0,0,0,0,0,0,0,0,0,-0.124949054,0,0,0
Gm11575,-4.047351531,0,-0.697189798,0,0.622227711,0,-1.314220735,0,3.02593603,0,-0.33626668,0.87762,-0.699881106,0,1.25695533,0
Gm12635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfrc,0.083013722,0.95634,0.01270635,0.98585,-0.184767335,0.93695,0.16218858,0.72292,-0.269003886,0.54114,-0.216447496,0.50013,-0.124243781,0.81661,-0.455292379,0.80988
Gm6460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alg9,0.005316333,0.99437,0.22606203,0.68701,-0.15194967,0.9418,-0.117120375,0.785,-0.411427987,0.090545,-0.649982557,0.00018229,0.197231192,0.81823,0.17715594,0.89493
Surf2,0.18539256,0.74363,-0.125220565,0.84498,0.053212376,0.97907,0.162236555,0.68088,0.544071252,0.027482,0.837757912,0.00000776,-0.142644802,0.8086,-0.238228678,0.85977
Xlr3d-ps,0,0,-0.590639368,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210015D19Rik,-0.049225152,0.95634,-0.245321678,0.74701,0.301541853,0.8829,0.094456079,0.89397,0.447016712,0.22759,0.625861268,0.00076209,0.308599908,0.62466,0.527974753,0.72351
Gm7071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12485,0,0,-1.10511032,0,2.325007803,0,0,0,0,0,1.178287116,0,0,0,0.922401054,0
Gm1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13477,-0.353137265,0,-0.303157599,0,-1.404423808,0.61755,1.082389387,0,-0.749179347,0,-0.821712881,0,-1.287297563,0,-3.754693325,0
Gm7309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iqca,0,0,0,0,-2.480780053,0,0,0,0,0,0,0,0,0,-3.098422807,0
Gm6177,-0.220373405,0,0,0,0.791486957,0,1.55622198,0,1.864167451,0,0,0,-0.276346505,0,-1.037569686,0
Fam136a,0.063663376,0.88241,-0.155532715,0.86196,0.28121639,0.88237,0.306952379,0.55224,0.498037146,0.10408,0.698582899,0.0001746,0.186436974,0.76883,0.173653073,0.96711
1700042B14Rik,0,0,0,0,0.648680731,0,-0.947214567,0,0,0,0,0,-0.510990685,0,1.097222574,0
Cml3,-0.297213417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou2af1,0.383895507,0.93383,-0.283264327,0.91656,0.115199701,0.97907,-0.136593184,0,-0.150818454,0.93236,0.488605914,0.63213,-0.744277543,0,-0.479320485,0
Scly,-0.037084883,0.93371,0.197422183,0.48358,0.188835964,0.90542,-0.142826474,0.41054,-0.372732876,0.0023344,-0.624792181,0.000000152,0.010642851,0.98363,0.35652964,0.60738
AY512931,0.643090006,0,0.211313356,0,0.57576616,0,0,0,-0.742824174,0,-0.340656394,0,0,0,0.225090479,0
Bmp6,0.19576944,0.79154,-0.231370038,0.80542,0.320885362,0.79277,0.098683794,0.88131,-0.480810955,0.15624,-0.0709616,0.86825,-0.278477028,0.70655,-0.041016354,0.99303
Mup3,-0.820867206,5.33E-08,-0.729744532,0.084349,0.038592093,0.99109,-0.289536459,0.57218,0.12282319,0.79528,0.014000807,0.95549,0.068518685,0.94114,0.408363199,0.91279
4833427G06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc31a1,-0.213173392,0.14886,-0.083352236,0.87771,0.104244569,0.95378,-0.188350523,0.34596,-0.085360135,0.71556,-0.231947367,0.10034,0.068457516,0.88832,0.375745916,0.69546
Fkbp15,-0.089029786,0.84116,-0.018000824,0.98373,-0.140992686,0.91311,-0.173995223,0.65238,-0.190387989,0.46251,-0.278628414,0.089998,-0.191481943,0.54395,-0.142565901,0.9593
Slc31a2,-0.094007354,0.90334,-0.102903109,0.8615,0.554267574,0.51532,-0.149537461,0.73425,0.023516133,0.94909,0.015421388,0.9625,-0.267000361,0.70056,0.451788897,0.33993
Mup21,-1.113846871,0.0053584,-0.669778594,0.18246,-0.243617009,0.96414,-0.358636482,0.81129,-1.163672583,0.0045658,-1.621634704,7.23E-19,-0.300735245,0.88456,-0.175187265,0.98919
Dph6,0.085477089,0.91205,0.742757535,0.076978,-0.062729944,0.96336,0.110177968,0.77643,-0.161231215,0.67537,-0.834926328,0.00031861,-0.091461725,0.8925,-0.249623725,0.82042
Nfe2l2,-0.043823132,0.94843,0.188306625,0.71126,-0.074611373,0.9418,0.472760201,0.0061462,0.094516594,0.70578,-0.157959288,0.46685,0.262648914,0.36905,-0.269319947,0.53367
Gm12305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sqstm1,0.0528143,0.89341,0.627538703,0.074082,-0.360102594,0.85473,-0.120990482,0.61617,-0.580194836,0.023107,-1.172063908,2.90E-14,-0.029122573,0.97291,-0.252759225,0.88169
Olfr1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl31-ps5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm13087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defa-ps14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12987,2.06910331,0,-2.593190542,0,0,0,0,0,-2.4064667,0,2.250791731,0,0,0,0.593459728,0
Olfr990-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14928,0,0,0,0,-0.817680564,0,0,0,0,0,0,0,0,0,-1.619487047,0
7630403G23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robo2,0.112946037,0.9434,-0.546982526,0.45831,0.290763451,0.91587,0.400737416,0.53167,-0.028775585,0.96054,0.61279761,0.1044,0.127675929,0.90598,0.030738153,0.99724
Nav2,-0.014668103,0.98701,1.365212337,0.00029761,0.196431982,0.9418,-0.066377737,0.92625,-0.366930542,0.41126,-1.760844165,1.03E-21,-0.584196526,0.14884,-0.305067331,0.94881
RP23-14I20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pld5,0,0,0,0,0,0,0,0,-1.635717483,0,0,0,0,0,0,0
Gm14245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9003,0.476056631,0,-0.107457454,0,-1.058177241,0,-0.49527666,0,0.474269411,0,1.028711383,0,-0.167226657,0,-0.715597576,0
Gm12047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrrn1,2.448756078,0,-0.569392614,0,0.247381069,0,-0.213686954,0,-0.595589138,0,2.414141912,0,0.068098516,0,0.544345399,0
Gm15269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9430025C20Rik,0.042490999,0.9927,-1.759828364,0,-1.913710087,0,-0.095041612,0,-1.22108381,0,0.557482115,0.65538,2.014402948,0,0.208617758,0
Cisd3,0.375519063,0.10344,0.241966713,0.59763,0.04508806,0.97907,0.686642011,0.0000432,0.139258413,0.63605,0.254834662,0.2021,0.165420389,0.59834,-0.460700356,0.28821
Gm15287,-0.765044804,0,1.692400832,0,-1.185031611,0,0,0,1.753405866,0,-0.706210912,0,0,0,-1.027857489,0
Gm27194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldh7a1,0.062634857,0.86979,0.344815552,0.62051,0.008707497,0.99655,0.215250934,0.61336,-0.256871616,0.43678,-0.555734973,0.012017,0.116649893,0.86995,-0.074330529,0.98919
Psmc3ip,-0.133406197,0.97021,0.100640619,0.97222,-0.224355208,0.96336,0.009760079,0.98858,0.588107079,0.43333,0.337160595,0.69361,0.6124713,0,0.395476211,0.95884
Plxnb1,-1.425826623,1.88E-16,-0.404354009,0.57526,-0.404109821,0.88673,-1.173092642,0.00058464,0.151029088,0.72199,-0.88890041,0.00033051,-0.187459955,0.88,0.597794168,0.47484
Gper1,1.28593814,0,0.937771648,0,0.72364739,0,-0.186588494,0,0.742024515,0,1.073516839,0,0.656740923,0,1.586466116,0
Gm9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd4a,0.063481513,0.91916,0.309200545,0.56488,-0.288515734,0.80836,-0.039454355,0.92692,-0.398975746,0.15851,-0.661467364,0.0000689,-0.304837157,0.38277,-0.538292391,0.29887
Clgn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naca,-0.044568516,0.93617,-0.267759549,0.74708,0.31069465,0.85764,0.437731553,0.24928,0.32421848,0.35898,0.528698,0.015258,0.100548136,0.89169,-0.013372411,0.9968
Ddhd2,0.636528752,0.000000096,0.202126921,0.72395,-0.144408278,0.88686,0.298189826,0.18997,0.10376846,0.72832,0.520148761,0.0015601,0.006690783,0.99341,-0.42061302,0.12691
Rag1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15839,0,0,0,0,0,0,2.093243312,0,0,0,0,0,0,0,0,0
RP24-148E21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-58N8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csf2rb,0.468702616,0.18386,0.223605792,0.78617,-1.116917458,0.09161,-0.802062231,0.010542,-0.923520339,0.0077837,-0.695320528,0.002577,-0.115217902,0.88333,-0.413839149,0.8289
RP24-391A22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-231B19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-233F23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-534L1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-170I24.2,-0.350455913,0.51064,-0.232817114,0.71022,-0.017747609,0.99415,0.70386444,0.051947,0.465164125,0.12924,0.327369059,0.24523,0.196856156,0.77979,-0.510585079,0.80998
H2afb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-488P2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpst,0.234424557,0.24761,0.153172659,0.79861,0.045407555,0.97907,0.412479659,0.036311,-0.14420561,0.55211,-0.079728498,0.74079,0.258235495,0.52244,-0.094266258,0.97125
Gm17976,1.969938254,0,0,0,-1.33924942,0,0.960332905,0,0.409488062,0,0,0,1.334776106,0,-0.950169375,0
Gm28046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apol7e,-1.266671223,0.62578,-1.41072259,0,-0.269245212,0.96841,-0.255030093,0,0.430830373,0,0.565707616,0.66455,-0.211687509,0,-0.21347788,0
Vmn2r110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paxip1,-0.148232846,0.72312,-0.018421618,0.97837,-0.015280165,0.99168,-0.206509686,0.55013,0.101096785,0.60119,-0.045365836,0.87326,-0.206590363,0.59581,0.000355951,0.99843
Rmnd5a,-0.147301531,0.44999,-0.078269575,0.88002,-0.049885612,0.96185,0.357642694,0.014376,-0.147959991,0.33699,-0.234320207,0.15658,0.149908659,0.58976,-0.242768492,0.57738
Csf2rb2,0.31999778,0.79166,-0.541437871,0.6802,-1.642530337,0.10538,-1.069827638,0.105,-0.691992515,0.29275,0.155861586,0.77123,-0.145800161,0.94086,-0.702966344,0.59694
RP23-19M11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mov10,-0.182960756,0.54732,0.38263628,0.6067,-0.338188427,0.89666,-0.451140017,0.24408,-0.746196017,0.026762,-1.330425238,1.02E-12,0.167772208,0.81746,0.296174409,0.92893
Ppm1j,-0.455194313,0.87653,-0.248041603,0.92571,0.160174567,0.97913,-0.259347545,0,0.218741115,0,-0.000426898,0.99367,-0.537511566,0,-0.102863662,0
Olfr1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-130K20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ncf4,-0.024032021,0.99193,-0.530361238,0.51715,-0.787319972,0.58768,-0.90556762,0.099921,0.152953326,0.78677,0.642582109,0.15792,-0.1943657,0.8925,-0.062327921,0.99236
Speer4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-473M13.3,0,0,0.979908582,0,-0.701402302,0,0,0,0.58318895,0,0,0,1.224369898,0,0,0
RP23-464K22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akp-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sco2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl29-ps5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17022,-0.054333708,0.98653,-0.28265734,0.8386,0.440020201,0.87294,-0.465028197,0.60685,0.21800187,0.79372,0.431495126,0.55311,-0.46081328,0.69076,0.459135876,0.88624
Gm8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16982,0.107423747,0.97681,-0.05857225,0.98366,-0.283774049,0.9418,-0.968461919,0.48348,0.322071913,0.80977,0.477025524,0.54877,-0.423431839,0,0.277459693,0.97938
Scaf1,0.002373798,0.99481,0.056803031,0.93641,-0.093296741,0.95839,-0.535517386,0.017461,-0.443643549,0.04133,-0.515744512,0.00014747,-0.445766053,0.2728,0.012098834,0.99615
Pmepa1,0.121978809,0.91916,0.002394768,0.99779,0.003157278,0.997,0.171736578,0.82696,0.025720867,0.96758,0.125295841,0.74948,-0.126279385,0.89488,-0.279561183,0.9086
Hfe2,-0.155516957,0.79599,0.088711697,0.84891,-0.205188829,0.87294,-0.02285273,0.94405,-0.594982347,0.0064009,-0.857350249,4.91E-08,0.095991809,0.8477,-0.071612945,0.97938
Foxf2,0.505014423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9330159M07Rik,0.973055333,0.0096395,-0.296974362,0.77601,-1.065328479,0.46703,0.301169404,0.57952,-0.281584767,0.57526,0.970195597,0.0040564,-0.367953703,0.62913,-1.719229418,0.020884
Gm5132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4890,0.10583694,0.95925,0.264954135,0.86734,-0.012059447,0.98996,0.517844257,0.33382,-0.330146657,0.60861,-0.506299936,0.33765,0.588696736,0.39428,0.071911853,0.99418
Olfr687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sf3b5,-0.015086967,0.98261,0.002929591,0.99845,-0.053216585,0.97907,0.257764955,0.49134,0.23699909,0.50534,0.200434539,0.2287,0.468229644,0.16554,0.171300562,0.95884
AW011738,-0.465436326,0.50139,-0.617482325,0.47727,-0.313516683,0.87965,-0.141927426,0.83263,-0.314299228,0.56405,-0.179731602,0.6837,-0.029224535,0.97591,-0.187369808,0.95884
Gm10190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fars2,0.075550808,0.88447,0.143208315,0.74555,-0.103586805,0.92261,0.09466487,0.7233,-0.206694221,0.31353,-0.291941419,0.05824,0.229947599,0.43807,0.046607487,0.98693
2700089E24Rik,-0.180143898,0.2799,-0.31678743,0.47861,0.144544974,0.92754,0.237642037,0.60977,0.388830434,0.14314,0.507369389,0.0000134,0.091974974,0.87193,0.012297258,0.99693
Olfr31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naglu,-0.119405166,0.75495,0.07578906,0.94779,-0.262429719,0.89142,-0.195437709,0.6937,-0.689623074,0.034683,-0.902117952,0.00011155,0.125998548,0.87739,0.075068627,0.98911
Tcirg1,-0.309453967,0.18386,-0.244979312,0.50901,0.017753588,0.99109,-0.405235967,0.094144,0.221790727,0.27266,0.138356371,0.51179,-0.133344804,0.79914,0.305140039,0.71902
4930550C17Rik,0,0,0,0,0,0,0,0,0,0,0,0,1.106008445,0,0,0
Gm1966,-0.273443525,0.84363,-1.144435552,0.0049373,-0.10329869,0.97907,-1.128300422,0.022597,0.163054644,0.8077,1.017157996,0.00098036,-0.673664809,0.54395,0.366516108,0.91132
Coasy,0.256566941,0.021289,0.446166899,0.21715,-0.125168757,0.94457,0.072007391,0.85716,-0.389850405,0.066607,-0.595939332,0.00037822,0.049569806,0.93616,-0.132053509,0.97094
Gm8177,0,0,0.999195597,0,-0.762460117,0,0,0,0.301489946,0,0,0,-0.253656094,0,0,0
Fah,0.005003436,0.99022,0.115299303,0.86326,-0.140698144,0.94,0.113072564,0.76457,-0.216100918,0.29056,-0.343245994,0.064183,0.236860863,0.61858,-0.001777774,0.99843
Gm26719,-0.49661073,0.89345,-0.751135864,0.75401,-1.285624464,0.7789,-0.134497097,0.96154,0.438827278,0,0.669660633,0.44744,0.945852888,0,-0.191835285,0
Gm26545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568770616,0
Gm10390,0.558202488,0,-1.238852039,0,0.03717528,0.99584,-1.393229144,0,-0.440291817,0,1.339221222,0.28793,-0.790636192,0,0.653432453,0
Sh3gl3,0,0,0,0,2.822502386,0,0,0,0,0,0,0,-0.489567314,0,0,0
Dvl2,0.286659015,0.57531,-0.140140244,0.89072,-0.265779628,0.87419,-0.316270243,0.49679,-0.131331316,0.75276,0.277831444,0.40445,-0.045889771,0.96237,0.018704711,0.99615
Nr1d1,0.041511145,0.97135,1.826634365,0.000000381,0.734994102,0.82179,-0.136325234,0.87195,-0.078809832,0.89452,-1.879887516,6.35E-19,-0.625217325,0.21647,0.26202568,0.98447
Aqp4,1.185889789,0.0014677,0.878444842,0.014925,-0.517644929,0.83263,0.676025012,0.20392,-0.136124934,0.74279,0.151817929,0.75125,0.168345196,0.80866,-1.009332057,0.3868
Cacnb1,-0.084769346,0.97683,-0.010227666,0.99056,0.138825821,0.97202,-0.833169098,0,-0.712795466,0.40013,-0.805387072,0.20375,-1.943063637,0,-0.957153449,0.72357
Fbxl20,-0.17863559,0.48488,-0.133367072,0.79774,0.010507016,0.9933,-0.120086982,0.72106,-0.269130097,0.18424,-0.332494138,0.033343,-0.167550676,0.63994,-0.021660091,0.99538
Asgr1,-0.13106327,0.59679,-0.167240726,0.70499,0.037983556,0.98036,0.262864522,0.10523,-0.222811908,0.32338,-0.204877463,0.11755,0.273004513,0.15412,0.062173255,0.98754
Dlg4,0.0379377,0.98261,0.021901687,0.99026,-0.487386414,0.86612,-0.334370184,0.69121,0.211441582,0.75602,0.208106182,0.71444,0.152214919,0.9141,0.014076614,0.998
A230052G05Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4755,1.547806077,0.28271,1.202422186,0,0.459502599,0.91379,0.071767172,0.97118,-0.6144829,0,-0.28692143,0.85412,-0.161184056,0,0.238708402,0
Gm26720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps19-ps6,0.346671906,0.81885,-0.166843143,0.9139,0.574801496,0.85409,0.17576836,0.80504,0.397526763,0.58485,0.893491504,0.064823,0.09441226,0.94503,0.506796215,0.85052
Thap3,-0.095066923,0.88255,-0.112702418,0.87771,0.309204314,0.8402,0.236048112,0.50071,0.099949194,0.75348,0.101014255,0.70134,0.028561138,0.96995,0.115716518,0.96503
Gm26722,-3.331619283,0,0.050434959,0,0.813831375,0,-0.318636096,0,3.160086291,0,-0.2488792,0.8564,-0.678717225,0,0.463239614,0
Syt10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10474,0,0,0,0,-0.21765271,0,-0.449526511,0,0,0,0,0,-1.173813249,0,-0.937316999,0
Gm26723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4221,0.632148381,0,-0.39796891,0,-2.03496298,0,0,0,-0.339163092,0,0.676703295,0,2.180299882,0,0,0
Fbxl5,0.104820651,0.69414,-0.148192853,0.82215,0.360188972,0.82179,0.230726077,0.53125,0.137142613,0.62268,0.371620988,0.024502,0.056919389,0.94817,0.199846345,0.90838
RP24-340K1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-502L18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
